PMID,Title,Abstract,Authors,Journal,Mesh Terms,URL,Affiliations
40273225,Delamination and Oxidation in Compression-Molded Polyethylene.,"At our institution, surgeons were observing cases of failed total knee arthroplasties (TKAs) with surface delamination of the tibial insert fabricated by direct compression molding. The increase in unexpected failure led us to investigate the prevalence of delamination and its causes through the use of retrieval analysis and reviews of clinical, demographic, and radiographic data. Between 2000 and 2019, a total of 519 Exactech Optetrak posterior-stabilized direct-compression-molded polyethylene inserts had been retrieved. To determine prevalence, we utilized institutional usage data, manufacturer sales to our institution, and hospital records to determine the delamination rate. Eighty-six retrieved specimens (16 with delamination) were assessed for oxidation with use of infrared spectroscopy. Sixty-four (12%) of the 519 inserts had delamination. The delamination rate was 0.36% across the 20-year period. Osteolysis was the reason for revision in 25% of delaminated cases, compared with 4% of non-delaminated cases. The mean oxidation index of the delaminated inserts was 2.67 ± 1.4 (range, 1.2 to 6.6). Delamination was not associated with surgical factors (cement viscosity and tibial insert thickness) or processes associated with manufacturing and implantation of the inserts into the patients (implantation year, shelf life, and packaging and sterilization dates). The lack of causative factors for the increase in delamination was perplexing. In 2021, following the completion of our study, the manufacturer determined that since 2004, polyethylene inserts were packaged in ""non-conforming"" vacuum bags that were missing a secondary barrier layer intended to markedly lessen oxygen permeation. The use of non-conforming bags apparently increased the risk of premature oxidation, delamination, and associated osteolysis. Prognostic Level IV . See Instructions for Authors for a complete description of levels of evidence.","Nickel Brian T, Weitzler Lydia, Padgett Elexis B, Lang Madeline, Westrich Geoffrey H, Wright Timothy M, Padgett Douglas E",The Journal of bone and joint surgery. American volume,"Humans, Polyethylene, Arthroplasty, Replacement, Knee, Knee Prosthesis, Prosthesis Failure, Oxidation-Reduction, Male, Female, Aged, Middle Aged, Prosthesis Design, Reoperation, Retrospective Studies, Aged, 80 and over",https://pubmed.ncbi.nlm.nih.gov/40273225/,"University of Wisconsin-Madison, Madison, Wisconsin.; Hospital for Special Surgery, New York, NY."
40267757,Fractures in Oxford unicompartmental knee arthroplasty are associated with medial positioning of the femoral component - A retrospective cohort study.,"A. This study aimed to evaluate the relationship between femoral component positioning and the incidence of periprosthetic fractures in Oxford unicompartmental knee arthroplasty (UKA), as well as the effects of component size and preoperative coronal lower limb alignment on fracture risk. B. A retrospective single-center study was conducted, including 1,642 cases of medial UKA performed between July 2015 and December 2022. Patients with symptomatic isolated medial knee osteoarthritis meeting specific selection criteria underwent surgery using either press-fit or cemented fixation based on individual bone quality. Radiographic evaluations were performed preoperatively and postoperatively to assess component positioning and alignment. Statistical analyses included the Mann-Whitney U test, Wilcoxon test, and Pearson's chi-squared test to compare fracture and non-fracture groups. C. Out of 1,642 cases, 15 (0.9%) experienced a tibial periprosthetic fracture. These fractures were significantly associated with medial positioning of the femoral component and smaller component sizes. The fracture group had a higher mean age (74.3 ± 6.2 years) and a higher percentage of females (80%) compared to the non-fracture group. No significant differences were observed in Body Mass Index (BMI) or preoperative coronal alignment between the groups. D. Medial positioning of the femoral component and smaller component sizes in Oxford UKA are associated with an increased risk of tibial periprosthetic fractures. Accurate implant positioning is crucial to minimize fracture risk and improve clinical outcomes. These findings underscore the importance of precise surgical techniques and may inform future guidelines for UKA procedures. This study was retrospectively registered and ethical approval was waived by the local ethical committee (No. 22-0990KB).","Watrinet Julius, Berger Daniel, Blum Philipp, Reidler Paul, Arnholdt Joerg, Siebenlist Sebastian, Schipp Rolf, Reng Wolfgang, Fabritius Matthias P",The Knee,"Humans, Retrospective Studies, Female, Male, Aged, Arthroplasty, Replacement, Knee, Knee Prosthesis, Periprosthetic Fractures, Osteoarthritis, Knee, Aged, 80 and over, Middle Aged, Femur, Tibial Fractures, Prosthesis Design",https://pubmed.ncbi.nlm.nih.gov/40267757/,"Department of Orthopaedic Sports Medicine, Technical University Munich, Germany, School of Medicine, Ismaninger Str. 22, 81675 Munich, Germany; Klinikum Garmisch-Partenkirchen, Endogap, Joint Replacement Institute, Auenstraße 6, 82467 Garmisch-Partenkirchen, Germany. Electronic address: julius.watrinet@mri.tum.de.; Department of Radiology, University Hospital, LMU Munich, Marchioninistr. 15, 81377 Munich, Germany. Electronic address: berger.daniel@campus.lmu.de.; Department Trauma Surgery, BG Unfallklinik Murnau, Professor-Küntscher-Straße 8, 82418 Murnau, Germany. Electronic address: philipp.blum@bgu-murnau.de.; Department of Radiology, University Hospital, LMU Munich, Marchioninistr. 15, 81377 Munich, Germany. Electronic address: paul.reidler@med.uni-muenchen.de.; Department of Orthopedics and Trauma Surgery, Musculoskeletal University Center Munich (MUM), University Hospital, LMU Munich, Marchioninistr. 15, 81377 Munich, Germany. Electronic address: joerg.arnholdt@med.uni-muenchen.de.; Department of Orthopaedic Sports Medicine, Technical University Munich, Germany, School of Medicine, Ismaninger Str. 22, 81675 Munich, Germany. Electronic address: Sebastian.siebenlist@mri.tum.de.; Klinikum Garmisch-Partenkirchen, Endogap, Joint Replacement Institute, Auenstraße 6, 82467 Garmisch-Partenkirchen, Germany. Electronic address: rolf.schipp@klinikum-gap.de.; Klinikum Garmisch-Partenkirchen, Endogap, Joint Replacement Institute, Auenstraße 6, 82467 Garmisch-Partenkirchen, Germany. Electronic address: wolfgang.reng@klinikum-gap.de.; Department of Orthopedics and Trauma Surgery, Musculoskeletal University Center Munich (MUM), University Hospital, LMU Munich, Marchioninistr. 15, 81377 Munich, Germany. Electronic address: matthias.fabritius@med.uni-muenchen.de."
40242187,The use of an ultrasonic cement removal device in revision hip and knee arthroplasty-A matched case-control study.,"The objective of this case series was to investigate the effect of ultrasound-guided cement removal devices on operating time and patient safety in the revision of cemented knee and hip arthroplasties. A total of 11 cases were examined in which ultrasound-guided cement extraction was utilised for implant removal. The primary endpoint of the study was the duration of the surgery. Additionally, the cohort was analysed for the occurrence of intraoperative fractures or postoperative ossification. Postoperative laboratory dynamics of haemoglobin and C-reactive protein levels were also investigated. A matched group of 11 patients who underwent revision arthroplasty using conventional techniques to remove bone cement served as the reference group. Ultrasound-guided removal of cement from the medullary canal was associated with a significantly longer operation time (187.19 min ± 54.4 vs. 121.91 min ± 43.5, (<i>p</i> = 0.0026). Furthermore, there was a significant decrease in haemoglobin drop relative to baseline haemoglobin levels when ultrasound-guided tools were employed for cement removal (2.36 g/dL ± 1.9 vs. 4.54 g/dL ± 1.9, <i>p</i> = 0.0015). Moreover, an intraoperative fracture complication of the femoral shaft was observed when the cement was removed using an ultrasonic cement stripper. A comparison between the two groups reveals a significant increase in surgical duration when cement removal was performed using ultrasound-guided technique. Simultaneously, the use of an ultrasound-assisted system for cement removal did not mitigate the risk of intraoperative bone perforation. Based on the data presented in this study, the authors cannot conclude that the use of ultrasound-guided devices for the removal of cement residues from the medullary canal during revision surgery is superior to conventional techniques. Level IV.","Haertlé Marco, Tücking Lars-René, Derksen Alexander, Reulbach Magnus, Jakubowitz Eike, Windhagen Henning",Journal of experimental orthopaedics,,https://pubmed.ncbi.nlm.nih.gov/40242187/,"Department of Orthopaedic Surgery Hannover Medical School Hannover Germany.; Department of Orthopaedic Surgery Laboratory for Biomechanics and Biomaterials (LBB), Hannover Medical School Hannover Germany."
40236279,"Cemented vs. uncemented total knee arthroplasty in obese patients: A systematic review of implant survival, complications, and clinical outcomes.","Obesity is a primary global health concern that negatively affects the outcomes of total knee arthroplasty (TKA). To mitigate complications, both cemented and uncemented fixation techniques have been considered. However, there remains no consensus in the literature regarding the optimal fixation method for obese patients despite the renewed interest in uncemented fixation. This systematic review aims to compare the survival rates, causes of failure, and patient-reported outcome measures (PROMs) between cemented TKA (cTKA) and uncemented TKA (uTKA) in the obese population. A comprehensive literature search was conducted according to PRISMA guidelines across five databases-PubMed, Scopus, Embase, Medline, and Cochrane-focusing on studies directly comparing cTKA and uTKA in obese patients. The ROBINS-I tool was used to assess the risk of bias, while the PRISMA flow diagram guided the study selection process based on predefined inclusion and exclusion criteria. This systematic review was registered on PROSPERO. Four retrospective studies encompassing 1622 patients met the inclusion criteria and were included in the final qualitative analysis. Among these, 50 % of patients underwent uTKA, with three studies exclusively analyzing individuals with at least class II obesity (BMI ≥35 kg/m<sup>2</sup>). All four studies reported higher rates of aseptic loosening in the cemented fixation group. However, only two studies demonstrated a statistically significant improvement in implant survival, reduced aseptic loosening, and lower revision rates with cementless fixation in the short-to mid-term follow-up. Regarding clinical outcomes, only one study reported a significant improvement in Knee Society Score (KSS) function, range of motion (ROM), and pain scores in the cementless group compared to the cemented group, particularly in the subgroup analysis of posterior-stabilized constrained TKA. This systematic review suggests that in obese patients, particularly those with BMI ≥35 kg/m<sup>2</sup>, cementless fixation offers comparable or superior implant survival rates and lower rates of aseptic loosening compared to cemented fixation in the short-to mid-term follow-up. Furthermore, cementless fixation may provide similar or enhanced clinical outcomes in this high-risk and growing patient population.","Lo Carmine Lorenzo, Onorato Francesco, Burgio Carmelo, Karlos Zepeda, Masoni Virginia, Capella Marcello, Camarda Lawrence, Chirillo Danilo Francesco, Massè Alessandro, Bosco Francesco",Journal of orthopaedics,,https://pubmed.ncbi.nlm.nih.gov/40236279/,"University of Turin, Centro Traumatologico Ortopedico (CTO), Department of Orthopaedic Surgery, Turin, Italy.; Adult Reconstruction and Joint Replacement Service, Hospital for Special Surgery, 10021, New York, NY, USA.; Department of Precision Medicine in Medical, Surgical and Critical Care (Me.Pre.C.C.), University of Palermo, Palermo, Italy.; Orthopaedics and Traumatology Unit, SS Antonio and Biagio and Cesare Arrigo Hospital, 15121, Alessandria, Italy.; Department of Orthopaedics and Traumatology, G.F. Ingrassia Hospital Unit, ASP 6, Palermo, Italy."
40217941,"Long-Term Excellent Clinical Outcomes, High Survivorship, and Low Osteoarthritis Progression in Lateral Unicompartmental Knee Arthroplasty: A 10-Year Minimum Follow-Up.","<b>Background:</b> The literature on the long-term outcomes of lateral unicompartmental knee arthroplasty (UKA) remains limited due to the lower prevalence of lateral osteoarthritis (OA) and the technical challenges of the procedure. This study aimed to assess the long-term clinical outcomes, implant survivorship, and OA progression in patients undergoing lateral UKA with a minimum follow-up of 10 years. <b>Methods:</b> This retrospective study analyzed 96 lateral UKAs from 2001 to 2013 using a cemented, fixed-bearing implant. Patients with at least 10 years of follow-up were included. Clinical outcomes were measured using range of motion (ROM), a pain visual analog scale (VAS), Knee Society Scores (KSSs), and the Forgotten Joint Score (FJS). Implant survivorship was assessed using a Kaplan-Meier analysis, while OA progression in the medial compartment was evaluated radiographically. <b>Results:</b> At a mean follow-up of 14.5 years, implant survivorship was 94.7%, with five revisions primarily due to OA progression. Significant improvements were observed in ROM, VAS, and KSS (<i>p</i> < 0.01). An increase in the Kellgren-Lawrence grade in the medial compartment was reported in 47.9% of patients. <b>Conclusions:</b> Lateral UKA provides excellent long-term outcomes, demonstrating high survivorship, significant functional improvement, and high patient satisfaction.","Marullo Matteo, Petrillo Stefano, Russo Antonio, Romagnoli Sergio",Journal of clinical medicine,,https://pubmed.ncbi.nlm.nih.gov/40217941/,"Department of Joint Replacement, IRCCS Istituto Ortopedico Galeazzi, 20161 Milan, Italy.; Humanitas Torino, Via Cellini 5, 10126 Turin, Italy."
40212942,Midterm survival of cementless total knee arthroplasty with a three-dimensional printed metal-backed patellar component from the American Joint Replacement Registry.,"Historically, metal-backed patellar components have shown high early failure rates due to fracture, lack of osseous integration, and polyethylene wear and dissociation. We aimed to describe the survival outcomes of cementless total knee arthroplasty (TKA) utilizing the first widely used additively manufactured 3-dimensionally printed metal-backed patellar component (AM-MBP) to compare these to other cementless as well as cemented TKA cohorts. There were 35,087 primary cementless TKA procedures in patients ≥65 years of age that utilized the AM-MBP component during the calendar years 2012 to 2020 that were identified from the American Joint Replacement Registry (AJRR). This AM-MBP cohort was benchmarked against age-similar (≥65 years) cohorts representing all other cementless primary TKA with a patellar component (aggregate cementless, n = 10,755) and all cemented TKA with a patellar component (aggregate cemented, n = 550,908). Cumulative percent revision curves and hazard ratios for all-cause revision were estimated using Cox proportional hazards models that adjusted for age and sex. The cumulative percent all-cause revision (95 % confidence interval (CI)) at 7-year follow-up was 1.9 % (1.7%, 2.1%; 1,051 at risk) for the AM-MBP and 2.5% (2.1%, 2.8%; 1,281 at risk) for other aggregated cementless. and 2.1% (2.1 %, 2.1 %; 105,641 at risk) for the aggregate cemented group. The adjusted hazard ratio for revision comparing AM-MBP with aggregate cementless was 0.77 (0.64, 0.93; <i>P</i> = 0.007), indicating a 23% decreased risk of revision for the AM-MBP group compared with all other cementless TKAs with a patellar component in the AJRR, controlling for age and sex. The improved survivability of primary cementless TKA with AM-MBP versus other cementless TKA suggests that the AM-MBP construct is durable in real-world use in the Medicare-eligible population (age ≥65 years) appears to be comparable to the average durability of other cementless constructs captured by the AJRR.","Mahoney Ormonde, Bhowmik-Stoker Manoshi, Nam Denis, Mont Michael A, Sequeira Sean B, Dunbar Michael",Journal of orthopaedics,,https://pubmed.ncbi.nlm.nih.gov/40212942/,"Athens Orthopedic Clinic, Athens, GA, USA.; Stryker Orthopaedics, Mahwah, NJ, USA.; Rush University, Chicago, IL, USA.; Sinai Hospital, Baltimore, MD, USA.; Medstar Union Memorial Hospital, USA.; Dalhousie University, Halifax, Nova Scotia, USA."
40212507,Traumatic Knee Joint Dislocation in a Total Knee Arthroplasty with Rupture of the Popliteal Artery and a Subsequent Prosthesis Change: A Case Report.,"Dislocations of the knee joint due to low-energy trauma following knee arthroplasty are very rare cases. However, when vascular involvement is present, it must be taken very seriously. This study aims to examine the clinical course, diagnostic approach, and surgical management of knee joint dislocation with vascular injury following low-energy trauma in a patient with a pre-existing knee arthroplasty. This case report details the instance of a 67-year-old female patient experiencing an anterior dislocation of the knee joint subsequent to a low-energy fall, occurring years after the surgical implantation of a knee joint prosthesis.Clinically and radiologically, an anterior dislocation of the knee joint accompanied by a rupture of the popliteal artery (PI/III segment) was confirmed. The involvement of the popliteal artery was evident in duplex sonography and computed tomography angiography conducted after closed reduction. The surgical intervention involved performing an end-to-end anastomosis of the popliteal artery, followed by the installation of a cemented rotating hinge knee endoprosthesis. Severe knee joint dislocations often require immediate closed reduction and duplex sonography, potentially leading to emergency surgical intervention. Prioritizing vascular and neurological repair before orthopedic treatment is essential, with follow-up assessments for joint stability recommended.","Tüngler Tim Ludwig, Pawelke Jonas, Khassawna Thaqif El, Heiss Christian, Knapp Gero",Journal of orthopaedic case reports,,https://pubmed.ncbi.nlm.nih.gov/40212507/,"Department of Experimental Trauma Surgery, Justus-Liebig-Universität, Giessen, Germany.; Department of Trauma, Hand, and Reconstructive Surgery, University Hospital Giessen GmbH, Giessen, Germany."
40209822,Risk of Early Manipulation in Cemented Versus Cementless Total Knee Arthroplasty: An Analysis of the American Joint Replacement Registry.,"Cementless total knee arthroplasty (TKA) has recently regained popularity, yet data has raised concerns about rates of arthrofibrosis following these procedures. The purpose of this study was to utilize the American Joint Replacement Registry to compare rates of early manipulation under anesthesia (MUA) in cementless and cemented primary TKAs that use technology or manual instrumentation. We queried the American Joint Replacement Registry for all patients ages 18 to 95 years who underwent cemented or cementless primary TKA over a 7-year period. Patients were stratified based on whether technology (robotics or computer-assisted navigation) was used during the primary surgery. Groups were then compared for rates of MUA within 90-day of the index surgery using multivariable logistic regression models. A total of 340,841 cases were included in the study, 78,397 (23%) of which used technology and 262,444 (77%) which did not. Within the technology cohort, there were 51,500 (65%) robotic and 26,897 (35%) navigated cases. There were 65% of technology-assisted TKAs and 92% of manual TKAs cemented. In the technology group, multivariable analysis demonstrated significantly higher odds of MUA in cemented TKAs compared to cementless (odds ratio [OR] 1.95, 95% confidence interval [CI] [1.06 to 3.59]; P = 0.031). Robotic cases had significantly higher odds of MUA with cemented compared to cementless implants (OR 2.38, 95% CI [1.27 to 4.46]; P = 0.007), while there was no difference in MUA related to cementation in the navigated cases (OR 3.53, 95% CI [0.48 to 25.95]; P = 0.22). In the manual group, there were no significant differences in MUA rates related to cementation use (OR 1.14, 95% CI [0.8 to 1.64]; P = 0.46). Cementless TKA did not increase odds of MUA. In further analyzing cement use into technology and manual cohorts, robotic-assisted cemented TKAs had higher rates of early MUA than cementless. Identification of risk factors leading to early arthrofibrosis may be patient dependent and further study is required to elucidate any surgical considerations.","Schaffler Benjamin C, Zaniletti Isabella, Arshi Armin, De Mita, Schwarzkopf Ran, Rozell Joshua C",The Journal of arthroplasty,"Humans, Arthroplasty, Replacement, Knee, Middle Aged, Aged, Registries, Male, Female, Adult, Aged, 80 and over, Bone Cements, Young Adult, Adolescent, United States, Knee Prosthesis, Cementation, Retrospective Studies, Robotic Surgical Procedures",https://pubmed.ncbi.nlm.nih.gov/40209822/,"NYU Langone Health Department of Orthopedic Surgery, New York, New York.; American Academy of Orthopedic Surgeons, Rosemont, Illinois."
40202590,Is surgeon assessed bone quality during total knee arthroplasty a valid tool to diagnose osteoporosis?,"Osteoporosis continues to have a high prevalence amongst people undergoing total knee arthroplasty (TKA). The surgeon assessed intraoperative bone quality using a visual analogue scale has a strong correlation with bone mineral density. Surgeon assessment of bone quality has a high specificity(100%) and positive predictive value(100%) in diagnosing osteoporosis and osteopenia. Patients undergoing TKA have a high prevalence of osteoporosis. Our aim is to study (a) the correlation of intraoperative surgeon assessed bone quality with bone mineral density(BMD) as measured by dual-energy x-ray absorptiometry(DEXA) and (b) the diagnostic strength of intraoperative surgeon assessment of bone quality in diagnosing osteoporosis and osteopenia, in patients undergoing TKA. We prospectively recruited 31 patients undergoing TKA. Patients were classified into normal, osteopenia or osteoporosis based on preoperative DEXA. Intraoperatively, the senior surgeon by visual and tactile assessment, graded the bone quality(BQ) using a visual analogue scale(VAS) from 0 to 10, with 10 being the strongest bone. Using the VAS score, we classified patients as normal(≥ 8), osteopenia(5-7) and osteoporosis(≤ 4). The Spearman's rho correlation between BMD and VAS was 0.954.(p < 0.001). VAS < 8 to diagnose osteopenia and osteoporosis had a sensitivity of 70.83%, specificity of 100%, positive predictive value of 100% and diagnostic accuracy of 77.42%(p = 0.001). VAS ≤ 4 to diagnose osteoporosis had a sensitivity of 71.43%, specificity of 100%, positive predictive value of 100% and diagnostic accuracy of 93.55%(p < 0.001). The surgeon assessed intraoperative bone quality using a VAS during TKA has a strong correlation with the gold standard BMD as measured by DEXA scan. VAS ≤ 4 can help diagnose osteoporosis, allowing surgeons to augment implant fixation with stem and cement as well as guide osteoporosis treatment postoperatively. VAS < 8 can identify osteopenic or osteoporotic bone, thus allowing the surgeon to better identify weaker bone and help titrate implant choice.","Maniar Adit R, Nayak Akshay, Bavaskar Arpit, Raina Vishal, Khokhar Ashwini, Maniar Rajesh N",Archives of osteoporosis,"Humans, Female, Osteoporosis, Arthroplasty, Replacement, Knee, Male, Aged, Bone Density, Absorptiometry, Photon, Middle Aged, Prospective Studies, Bone Diseases, Metabolic, Aged, 80 and over",https://pubmed.ncbi.nlm.nih.gov/40202590/,"Lilavati Hospital and Research Centre, Mumbai, India.; Breach Candy Hospital Trust, Mumbai, India.; Sir H. N. Reliance Foundation Hospital and Research Centre, Mumbai, India.; Pranav Hospital, Gandhi Maidan, Near Handady Grama Panchayat, Bramavara, Handady, Karnataka, 576213, India.; Suvidhi Multispeciality Hospital, Market Yard, Near Bus Stand, BajartalChandwad, Maharashtra, 423101, India.; Eden Critical Hospital, 116, next to Eden Hospital, Opp. Hometel Hotel, Industrial Area Phase 2, Industrial Area Phase I, Chandigarh, 160002, India.; Pandit Madan Mohan Malviya Hospital, Govandi, Mumbai, 400071, India.; Lilavati Hospital and Research Centre, Mumbai, India. drmaniar@jointspeciality.com.; Breach Candy Hospital Trust, Mumbai, India. drmaniar@jointspeciality.com.; Sir H. N. Reliance Foundation Hospital and Research Centre, Mumbai, India. drmaniar@jointspeciality.com."
40197835,No difference in 5-year survivorship between cemented versus cementless total knee arthroplasty in a cohort of 5266 patients using a deep-dish mobile bearing implant.,"The best fixation method for total knee arthroplasty (TKA) remains controversial. The aim of this study is to compare the effect of cemented and cementless fixation on prosthesis survivorship. Our primary hypothesis is that there is no difference in survivorship between cemented and cementless TKA. Our secondary hypothesis is that there is no difference in aseptic revisions and functional outcomes between cemented and cementless TKA at mid-term follow-up. A multicentre retrospective study was done using data collected prospectively in a large cohort. The same deep-dish mobile bearing design was used for both cemented and cementless TKA. Patients were divided into two groups according to the fixation method. The survival rate between cemented and cementless TKA was compared. Functional outcomes were collected preoperatively and at the 5-year follow-up. Of the 5266 primary TKA included, 4549 were cementless, and 717 were cemented. At 5 years, there was no significant difference between the survivorship of the cementless (98.7% [95% confidence interval, CI: 98.2-99.1]) and cemented TKA (97.6%, [95% CI: 94.1-99.1]) (p = 0.468). There was no significant difference in the surgery-free survival at 5 years between cementless (95.8% [95% CI: 94.9-96.5]) and cemented TKA (95.5% [95% CI: 92.1-97.5]) (p = 0.508) as well as in aseptic revision: cementless (96.9% [95% CI: 96.2-97.5]) and cemented TKA (97.5 [95% CI: 95.5-98.6]) (p = 0.355). There was no significant difference in the functional outcomes at 5 years. There was no observed difference in survivorship between cemented and cementless TKA at 5 years in this cohort of 5266 patients. Additionally, rates of reoperation and aseptic revision were similar across both fixation methods, and clinical outcomes did not differ significantly. Therefore, it may be suggested that cementless fixation is a safe option for primary TKA. Level III.","Manchec Ophélie, Bérard Emilie, Pailhé Regis, Lustig Sébastien, Cavaignac Etienne","Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA","Humans, Arthroplasty, Replacement, Knee, Retrospective Studies, Female, Male, Knee Prosthesis, Aged, Middle Aged, Bone Cements, Prosthesis Design, Reoperation, Prosthesis Failure, Cementation, Aged, 80 and over",https://pubmed.ncbi.nlm.nih.gov/40197835/,"Service de Chirurgie Orthopédique et Traumatologie, hôpital Pierre-Paul Riquet, CHU Purpan, Toulouse, France.; Service d'Épidémiologie Clinique et de Santé Publique, CHU de Toulouse, CERPOP, Inserm, Université de Toulouse III Paul Sabatier, Toulouse, France.; Service de Chirurgie Orthopédique, Clinique Aguiléra, Ramsay Santé, Biarritz, France.; Service de Chirurgie Orthopédique, Hopital de la Croix-Rousse, Lyon, France."
40134288,Radiostereometric measurement of implant migration in robotically assisted vs conventional bi-cruciate stabilized cemented total knee arthroplasty: secondary analysis of a randomized controlled trial.,"Robotically assisted computer navigation (robotic) has been developed to improve the positioning in total knee arthroplasties (TKAs), attempting to achieve better functional results and longevity of the prostheses. However, the benefit of robotics is still controversial. The aim of our study was to compare migration between robotic and conventional techniques in cemented bi-cruciate stabilized TKAs, using radiostereometric analysis (RSA) based on a secondary analysis of a randomized controlled trial (RCT). We enrolled 60 TKA patients from one hospital (2020-2021), with osteoarthritis or arthritic disease. The patients were examined up to 24 months after the surgery, to estimate the mechanical stability of the tibial component. The maximum total point motion (MTPM) representing the magnitude of migration, the largest negative (subsidence) and positive (lift-off) value for y-translation, and prosthetic rotations were measured. The migration in the 2 groups was compared and the precision evaluated. 51 RSA marked TKAs were available for a comparison of tibial migration between robotically assisted (n = 26) and conventional operations (n = 25). The MTPM in the first year was 0.44 mm and 0.64 mm, and at 24 months 0.46 mm and 0.75 mm, for the conventional and the robotic groups, respectively. The robotic group migrated more than the conventional group at 2 years, 0.21 mm (95% confidence interval [CI] 0.05-0.44; P = 0.01). The overall median MTPM for the investigated implants (both groups) up to 12 months was 0.54 mm (CI 0.44-0.63), and 0.19 mm between 12 and 24 months (CI 0.16-0.22). The magnitude of migration and rotation around the 3 axes was small for both groups, but flexion/extension migration of the tibial component was slightly higher in the robotic group 0.14° (CI 0.00-0.33; P = 0.049). MTPM and flexion/extension migrations of the tibial component were higher for the robotic group, up to 24 months. The overall migration pattern for the bi-cruciate stabilized implant was acceptable.","Skåden Øystein, Furnes Ove Nord, Lygre Stein Håkon Låstad, Moldestad Irene Ohlen, Hallan Geir, Fenstad Anne Marie, Høl Paul Johan, Gøthesen Øystein Johannes",Acta orthopaedica,"Humans, Arthroplasty, Replacement, Knee, Radiostereometric Analysis, Male, Female, Aged, Robotic Surgical Procedures, Knee Prosthesis, Middle Aged, Osteoarthritis, Knee, Prosthesis Failure, Foreign-Body Migration, Aged, 80 and over",https://pubmed.ncbi.nlm.nih.gov/40134288/,"Haugesund Hospital for Rheumatic Diseases, Haugesund; Department of Clinical Medicine, University of Bergen, Bergen, Norway. oystein.skaden@hsr.as.; Department of Clinical Medicine, University of Bergen, Bergen; Norwegian Arthroplasty Register, Department of Orthopaedic Surgery, Haukeland University Hospital, Helse Bergen HF, Bergen, Norway.; Norwegian Arthroplasty Register, Department of Orthopaedic Surgery, Haukeland University Hospital, Helse Bergen HF, Bergen; Department of Occupational Medicine, Haukeland University Hospital, Helse Bergen, Bergen, Norway.; Biomatlab, Department of Orthopaedic Surgery, Haukeland University Hospital, Helse Bergen HF, Bergen, Norway.; Norwegian Arthroplasty Register, Department of Orthopaedic Surgery, Haukeland University Hospital, Helse Bergen HF, Bergen; oastal Hospital in Hagevik, Helse Bergen, Bergen, Norway.; Norwegian Arthroplasty Register, Department of Orthopaedic Surgery, Haukeland University Hospital, Helse Bergen HF, Bergen, Norway.; Department of Clinical Medicine, University of Bergen, Bergen; Biomatlab, Department of Orthopaedic Surgery, Haukeland University Hospital, Helse Bergen HF, Bergen, Norway.; Haugesund Hospital for Rheumatic Diseases, Haugesund; Department of Clinical Medicine, University of Bergen, Bergen, Norway."
40126872,Equivalent Six-Week Knee Motion and Patient-Reported Outcome Scores After Cementless and Cemented Total Knee Arthroplasty with a Kinematic Alignment Optimized Implant.,"Cemented kinematic alignment (KA) total knee arthroplasty (TKA) is popular due to its superior patient-reported outcome scores (PROs). A new cementless version of a KA-optimized implant is available. The femoral component features a 20° trochlear groove and medial spherical articulation. The tibial insert features a medial socket, creating native anterior-posterior stability and a lateral flat articular surface promoting native medial pivot rotation. The present study aimed to determine whether clinical outcomes for patients receiving the cementless KA-optimized implant are equivalent to those receiving the cemented version after six weeks. This comparison is essential because lower PROs could indicate delayed osteointegration of the components, like dysfunction associated with delayed fracture union. The study included 95 cementless KA TKAs matched 1:1 with 95 cemented KA TKAs based on surgery date, age, preoperative knee deformity, sex, and surgeon. Patients completed the Oxford Knee Score (OKS) and the Knee Injury and Osteoarthritis Outcome Score for Joint Replacement (KOOS JR) both preoperatively and at six weeks, as well as the Forgotten Joint Score (FJS) at six weeks. A Wilcoxon two-sided equivalence test was used to test the null hypothesis that results were comparable for the cementless and cemented KA TKAs. The analysis included 114 females and 76 males, with a mean age of 68 years and a body mass index (BMI) of 31kg/m². Preoperatively and at six weeks, the age, sex distribution, BMI, knee extension and flexion, OKS, and KOOS JR scores for cementless and cemented KA TKAs were equivalent. At six weeks, the FJS scores were also equivalent. The KA-optimized implant closely resembling native knee morphology did not show evidence of delayed osteointegration. After six weeks, knee motion and PROs were equivalent to those of the cemented implants. However, longer-term monitoring of this new cementless implant is necessary.","Akhtar Muzammil, Howell Stephen M, Nedopil Alexander J, Hull Maury L",Surgical technology international,,https://pubmed.ncbi.nlm.nih.gov/40126872/,"1College of Medicine, California Northstate University, Elk Grove, California.; Department of Biomedical Engineering, University of California Davis, Davis, California.; Orthopädische Klinik König-Ludwig-Haus, Lehrstuhl für Orthopädie der Universität Würzburg Würzburg, Germany."
